Place,Car No.,Team (EN),Team (JP),D1 Run 1 Time,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time,D2 Run 2 # of Cones,D2 Run 2 Adj.,Viocount,Best Time,Event Score
1,E01,Nagoya University EV,名古屋大学EV,3.575,0,3.575,3.577,0,3.577,,0,DNF,,0,DNF,0,3.575,100
2,E04,The University of Tokyo EV,東京大学EV,4.177,0,4.177,4.085,0,4.085,,0,DNF,,0,DNF,0,4.085,64.23
3,E08,University of Yamanashi EV,山梨大学EV,4.394,0,4.394,4.227,0,4.227,4.168,0,4.168,8.692,0,8.692,0,4.168,59.23
4,E24,Kyoto Institute of Technology EV,京都工芸繊維大学EV,4.203,0,DNF,4.423,0,4.423,4.329,0,4.329,4.124,0,DNF,2,4.329,50.09
5,E06,Shizuoka University EV,静岡大学EV,4.486,0,4.486,4.503,0,4.503,4.339,0,4.339,4.34,0,4.34,0,4.339,49.55
6,E02,Nagoya Institute of Technology EV,名古屋工業大学EV,5.593,0,5.593,4.485,0,4.485,,0,DNF,,0,DNF,0,4.485,41.86
7,E13,nissan automobile technical college kyoto EV,日産京都自動車大学校EV,4.755,0,4.755,4.685,0,4.685,4.746,0,4.746,4.777,0,4.777,0,4.685,32.12
8,E12,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,4.94,0,4.94,4.799,0,4.799,4.724,0,4.724,4.711,0,4.711,0,4.711,30.91
9,E10,Tohoku University EV,東北大学EV,4.979,0,4.979,5.072,0,5.072,,0,DNF,,0,DNF,0,4.979,19.21
10,E11,National Taiwan University EV,National Taiwan University EV,5.206,0,5.206,5.274,0,5.274,,0,DNF,,0,DNF,0,5.206,10.24
11,E16,Aichi Institute of Technology EV,愛知工業大学EV,5.32,0,5.32,5.231,0,5.231,20.087,0,20.087,5.488,0,5.488,0,5.231,9.3
12,E05,Univesity of Toyama EV,富山大学EV,7.856,0,7.856,6.582,0,6.582,5.338,0,5.338,5.268,0,5.268,0,5.268,7.92
13,E07,Yokohama National University EV,横浜国立大学EV,6.475,0,6.475,,0,DNF,,0,DNF,,0,DNF,0,6.475,4.5
13,E15,University of Fukui EV,福井大学EV,6.961,0,6.961,7.804,0,7.804,,0,DNF,,0,DNF,0,6.961,4.5
13,E18,Toyota Mobility Engineering College Nagoya EV,トヨタ名古屋自動車大学校EV,5.442,0,5.442,5.926,0,5.926,,0,DNF,,0,DNF,0,5.442,4.5
13,E20,Institute of Technologists EV,ものつくり大学EV,6.92,0,6.92,5.637,0,5.637,,0,DNF,,0,DNF,0,5.637,4.5
13,E19,Kanagawa Institute of Technology EV,神奈川工科大学EV,10.112,0,10.112,8.645,0,8.645,,0,DNF,,0,DNF,0,8.645,4.5
,E09,Sophia University EV,上智大学EV,,,,,,,,,,,,,,,
,E14,National Yang Ming Chiao Tung University EV,National Yang Ming Chiao Tung University EV,,,,,,,,,,,,,,,
,E21,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,,,,,,,,,,,,,,,
,E22,Tokyo University of Technology EV,東京工科大学EV,,,,,,,,,,,,,,,
,E26,Shizuoka Institute of Science and Technology EV,静岡理工科大学EV,,,,,,,,,,,,,,,
,E28,National Cheng Kung University EV,National Cheng Kung University EV,,,,,,,,,,,,,,,
